username,firstName,lastName,email,password,phone,userStatus
origntsg,Dmrkx,Shougfe,yvwtrjq@test.org,ahhlskckmz,+13286375845,0
qgiunwzg,Ycfbu,Ogvyvzk,benweqw@example.com,jzfhwepnjg,+12483490866,0
wuqeipeu,Cmbqd,Yrcyrtd,xdtutep@test.org,brufwykjuo,+16513543533,0
zvyvvfnt,Bmtyo,Tsgjouv,fhtujfs@test.org,hgfqgguaiu,+16620807090,0
rvwgulyl,Jflnx,Sebtekl,ujfcsnv@test.org,kafnpswczi,+10396551218,0
suttfunp,Iugsx,Fjrvzig,kbdtupz@example.com,zeharverse,+10219579349,0
tfcnsvsa,Afbio,Qrimzwg,jpxkdzk@mail.com,rwgekatypx,+15727745417,0
ypqrwshv,Doume,Nxhmowl,ifqsqql@mail.com,mrvbmlubvo,+18617895828,0
nkkfgxnw,Vpege,Ppwuayy,brhbxze@mail.com,ewhxiqzocp,+19920469043,0
jfiuvqzy,Hdxtw,Koihwyn,jnsrjoi@example.com,wvsqglqrhk,+11880246804,0
affeagkb,Mgkoi,Bxdqfcx,wsxigvp@example.com,evodtzepim,+15916259784,0
cegregrk,Zprta,Esnvuzc,ucmidtb@mail.com,fmwhzfpwmb,+10040537920,0
ivdnqpxu,Wcvum,Xlnvesq,imayyna@mail.com,mrbppoimax,+11792536507,0
wkfowaxt,Yzzxr,Lhgzerj,swwgnkj@mail.com,tfmvmzqaek,+19565982120,0
ycysixle,Mpvrw,Xyfjgyg,sggdswb@example.com,zunfyhnuhj,+19463400627,0
